latent_index,spearman,p_value
0,,
1,,
2,-0.16613410862456923,0.09854365626382167
3,-0.501558669915336,1.0628338949832708e-07
4,,
5,0.371440487028131,0.00014193834633785958
6,0.4048521288984482,2.9413317893042596e-05
7,,
8,,
9,,
10,0.27720621548871627,0.005235897188686164
11,0.28821741570998644,0.0036385075113181215
12,,
13,0.45627173363744744,1.8339250887457184e-06
14,,
15,,
16,,
17,-0.19136685899538167,0.056484883177405756
18,,
19,-0.38113754400773453,9.145991869103233e-05
20,-0.40248187054019113,3.307417995732686e-05
21,-0.1316315094910958,0.1917382630599942
22,0.38582405483760485,7.35900066484081e-05
23,0.44560257069825493,3.3872200716932236e-06
24,-0.3484939858585741,0.0003805835041242909
25,,
26,-0.4744057102416318,6.156294053922567e-07
27,,
28,-0.005496599129527754,0.956715800581913
29,,
30,0.35595279886949444,0.000278440171372194
31,0.40838051349251187,2.465977393074467e-05
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,-0.35640884857893124,0.0002731022153024331
42,0.09341818258568567,0.3552465950770305
43,,
44,-0.19610137505782424,0.05053715195859776
45,,
46,-0.16796430811638796,0.0948371693089021
47,-0.23083916147795108,0.020851072156826835
48,,
49,,
50,,
51,0.3299879687019545,0.0007999070249354253
52,,
53,0.08543131201647013,0.3980445105942232
54,,
55,0.44659867927413005,3.2014350595100673e-06
56,,
57,0.3196368404285534,0.0011883369794667665
58,,
59,-0.3770270959687318,0.00011037477547217417
60,,
61,,
62,,
63,,
64,0.041158486276671256,0.6843145917843347
65,0.40351398304049546,3.143061068789172e-05
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,0.08788557953172872,0.3845789210280961
76,0.453271406601679,2.183866645213763e-06
77,,
78,-0.13578280033073584,0.1779788604982761
79,,
80,,
81,,
82,0.14718404306665586,0.1439311954664579
83,0.21871784025344665,0.028799312211548075
84,,
85,,
86,,
87,-0.6273263786006769,2.8749521475863383e-12
88,,
89,,
90,,
91,,
92,,
93,,
94,0.2509977146677839,0.011772825837727896
95,,
96,,
97,,
98,,
99,,
100,,
101,-0.2763901265349873,0.00537602233943819
102,0.39405095156968184,4.9842538510439936e-05
103,,
104,0.10271319574249627,0.30919581141143243
105,-0.13838708419778284,0.16972477358884652
106,,
107,,
108,,
109,,
110,,
111,-0.28672925350024525,0.003825152497352001
112,0.33062403803353735,0.0007803321093812697
113,,
114,,
115,,
116,-0.3531324914558721,0.0003136473136802627
117,,
118,-0.22275628044359094,0.02590551714953114
119,0.05761828039489684,0.5690764875951093
120,-0.24276846177216635,0.014945859884193308
121,0.1426655505507886,0.15678337415804058
122,,
123,0.08972778033169052,0.3746540864403429
124,0.047423169127355724,0.639403349164458
125,,
126,,
127,-0.4688791078417464,8.643548090902414e-07
128,,
129,0.33563458418327063,0.0006407839373226297
130,,
131,,
